Day,No,test,treat,pH,EC
2022/3/17,1,P,0P,,
2022/3/17,2,P,0P,,
2022/3/17,3,P,0P,,
2022/3/17,4,P,0P,,
2022/3/17,9,P,6P,,
2022/3/17,10,P,6P,,
2022/3/17,11,P,6P,,
2022/3/17,12,P,6P,,
2022/3/17,17,P,30P,,
2022/3/17,18,P,30P,,
2022/3/17,19,P,30P,,
2022/3/17,20,P,30P,,
2022/3/17,25,P,60P,,
2022/3/17,26,P,60P,,
2022/3/17,27,P,60P,,
2022/3/17,28,P,60P,,
2022/3/17,33,P,Ca_P,,
2022/3/17,34,P,Ca_P,,
2022/3/17,35,P,Ca_P,,
2022/3/17,36,P,Ca_P,,
2022/3/17,41,P,Fe_P,,
2022/3/17,42,P,Fe_P,,
2022/3/17,43,P,Fe_P,,
2022/3/17,44,P,Fe_P,,
2022/3/17,49,P,Al_P,,
2022/3/17,50,P,Al_P,,
2022/3/17,51,P,Al_P,,
2022/3/17,52,P,Al_P,,
2022/3/24,1,P,0P,,
2022/3/24,2,P,0P,,
2022/3/24,3,P,0P,,
2022/3/24,4,P,0P,,
2022/3/24,9,P,6P,,
2022/3/24,10,P,6P,,
2022/3/24,11,P,6P,,
2022/3/24,12,P,6P,,
2022/3/24,17,P,30P,,
2022/3/24,18,P,30P,,
2022/3/24,19,P,30P,,
2022/3/24,20,P,30P,,
2022/3/24,25,P,60P,,
2022/3/24,26,P,60P,,
2022/3/24,27,P,60P,,
2022/3/24,28,P,60P,,
2022/3/24,33,P,Ca_P,,
2022/3/24,34,P,Ca_P,,
2022/3/24,35,P,Ca_P,,
2022/3/24,36,P,Ca_P,,
2022/3/24,41,P,Fe_P,,
2022/3/24,42,P,Fe_P,,
2022/3/24,43,P,Fe_P,,
2022/3/24,44,P,Fe_P,,
2022/3/24,49,P,Al_P,,
2022/3/24,50,P,Al_P,,
2022/3/24,51,P,Al_P,,
2022/3/24,52,P,Al_P,,
2022/3/24,BC_1,BC,Control,,
2022/3/24,BC_2,BC,Control,,
2022/3/24,BC_3,BC,Control,,
2022/3/24,BC_4,BC,Control,,
2022/3/24,BC_5,BC,Chaff_10,,
2022/3/24,BC_6,BC,Chaff_10,,
2022/3/24,BC_7,BC,Chaff_10,,
2022/3/24,BC_8,BC,Chaff_10,,
2022/3/24,BC_9,BC,Tea_10,,
2022/3/24,BC_10,BC,Tea_10,,
2022/3/24,BC_11,BC,Tea_10,,
2022/3/24,BC_12,BC,Tea_10,,
2022/3/24,BC_13,BC,Tea_30,,
2022/3/24,BC_14,BC,Tea_30,,
2022/3/24,BC_15,BC,Tea_30,,
2022/3/24,BC_16,BC,Tea_30,,
2022/3/31,1,P,0P,,
2022/3/31,2,P,0P,,
2022/3/31,3,P,0P,,
2022/3/31,4,P,0P,,
2022/3/31,9,P,6P,,
2022/3/31,10,P,6P,,
2022/3/31,11,P,6P,,
2022/3/31,12,P,6P,,
2022/3/31,17,P,30P,,
2022/3/31,18,P,30P,,
2022/3/31,19,P,30P,,
2022/3/31,20,P,30P,,
2022/3/31,25,P,60P,,
2022/3/31,26,P,60P,,
2022/3/31,27,P,60P,,
2022/3/31,28,P,60P,,
2022/3/31,33,P,Ca_P,,
2022/3/31,34,P,Ca_P,,
2022/3/31,35,P,Ca_P,,
2022/3/31,36,P,Ca_P,,
2022/3/31,41,P,Fe_P,,
2022/3/31,42,P,Fe_P,,
2022/3/31,43,P,Fe_P,,
2022/3/31,44,P,Fe_P,,
2022/3/31,49,P,Al_P,,
2022/3/31,50,P,Al_P,,
2022/3/31,51,P,Al_P,,
2022/3/31,52,P,Al_P,,
2022/3/31,BC_1,BC,Control,,
2022/3/31,BC_2,BC,Control,,
2022/3/31,BC_3,BC,Control,,
2022/3/31,BC_4,BC,Control,,
2022/3/31,BC_5,BC,Chaff_10,,
2022/3/31,BC_6,BC,Chaff_10,,
2022/3/31,BC_7,BC,Chaff_10,,
2022/3/31,BC_8,BC,Chaff_10,,
2022/3/31,BC_9,BC,Tea_10,,
2022/3/31,BC_10,BC,Tea_10,,
2022/3/31,BC_11,BC,Tea_10,,
2022/3/31,BC_12,BC,Tea_10,,
2022/3/31,BC_13,BC,Tea_30,,
2022/3/31,BC_14,BC,Tea_30,,
2022/3/31,BC_15,BC,Tea_30,,
2022/3/31,BC_16,BC,Tea_30,,
2022/4/7,1,P,0P,,
2022/4/7,2,P,0P,,
2022/4/7,3,P,0P,,
2022/4/7,4,P,0P,,
2022/4/7,9,P,6P,,
2022/4/7,10,P,6P,,
2022/4/7,11,P,6P,,
2022/4/7,12,P,6P,,
2022/4/7,17,P,30P,,
2022/4/7,18,P,30P,,
2022/4/7,19,P,30P,,
2022/4/7,20,P,30P,,
2022/4/7,25,P,60P,,
2022/4/7,26,P,60P,,
2022/4/7,27,P,60P,,
2022/4/7,28,P,60P,,
2022/4/7,33,P,Ca_P,,
2022/4/7,34,P,Ca_P,,
2022/4/7,35,P,Ca_P,,
2022/4/7,36,P,Ca_P,,
2022/4/7,41,P,Fe_P,,
2022/4/7,42,P,Fe_P,,
2022/4/7,43,P,Fe_P,,
2022/4/7,44,P,Fe_P,,
2022/4/7,49,P,Al_P,,
2022/4/7,50,P,Al_P,,
2022/4/7,51,P,Al_P,,
2022/4/7,52,P,Al_P,,
2022/4/7,BC_1,BC,Control,,
2022/4/7,BC_2,BC,Control,,
2022/4/7,BC_3,BC,Control,,
2022/4/7,BC_4,BC,Control,,
2022/4/7,BC_5,BC,Chaff_10,,
2022/4/7,BC_6,BC,Chaff_10,,
2022/4/7,BC_7,BC,Chaff_10,,
2022/4/7,BC_8,BC,Chaff_10,,
2022/4/7,BC_9,BC,Tea_10,,
2022/4/7,BC_10,BC,Tea_10,,
2022/4/7,BC_11,BC,Tea_10,,
2022/4/7,BC_12,BC,Tea_10,,
2022/4/7,BC_13,BC,Tea_30,,
2022/4/7,BC_14,BC,Tea_30,,
2022/4/7,BC_15,BC,Tea_30,,
2022/4/7,BC_16,BC,Tea_30,,
2022/4/14,1,P,0P,,
2022/4/14,2,P,0P,,
2022/4/14,3,P,0P,,
2022/4/14,4,P,0P,,
2022/4/14,9,P,6P,,
2022/4/14,10,P,6P,,
2022/4/14,11,P,6P,,
2022/4/14,12,P,6P,,
2022/4/14,17,P,30P,,
2022/4/14,18,P,30P,,
2022/4/14,19,P,30P,,
2022/4/14,20,P,30P,,
2022/4/14,25,P,60P,,
2022/4/14,26,P,60P,,
2022/4/14,27,P,60P,,
2022/4/14,28,P,60P,,
2022/4/14,33,P,Ca_P,,
2022/4/14,34,P,Ca_P,,
2022/4/14,35,P,Ca_P,,
2022/4/14,36,P,Ca_P,,
2022/4/14,41,P,Fe_P,,
2022/4/14,42,P,Fe_P,,
2022/4/14,43,P,Fe_P,,
2022/4/14,44,P,Fe_P,,
2022/4/14,49,P,Al_P,,
2022/4/14,50,P,Al_P,,
2022/4/14,51,P,Al_P,,
2022/4/14,52,P,Al_P,,
2022/4/14,BC_1,BC,Control,,
2022/4/14,BC_2,BC,Control,,
2022/4/14,BC_3,BC,Control,,
2022/4/14,BC_4,BC,Control,,
2022/4/14,BC_5,BC,Chaff_10,,
2022/4/14,BC_6,BC,Chaff_10,,
2022/4/14,BC_7,BC,Chaff_10,,
2022/4/14,BC_8,BC,Chaff_10,,
2022/4/14,BC_9,BC,Tea_10,,
2022/4/14,BC_10,BC,Tea_10,,
2022/4/14,BC_11,BC,Tea_10,,
2022/4/14,BC_12,BC,Tea_10,,
2022/4/14,BC_13,BC,Tea_30,,
2022/4/14,BC_14,BC,Tea_30,,
2022/4/14,BC_15,BC,Tea_30,,
2022/4/14,BC_16,BC,Tea_30,,
2022/4/21,1,P,0P,,
2022/4/21,2,P,0P,,
2022/4/21,3,P,0P,,
2022/4/21,4,P,0P,,
2022/4/21,9,P,6P,,
2022/4/21,10,P,6P,,
2022/4/21,11,P,6P,,
2022/4/21,12,P,6P,,
2022/4/21,17,P,30P,,
2022/4/21,18,P,30P,,
2022/4/21,19,P,30P,,
2022/4/21,20,P,30P,,
2022/4/21,25,P,60P,,
2022/4/21,26,P,60P,,
2022/4/21,27,P,60P,,
2022/4/21,28,P,60P,,
2022/4/21,33,P,Ca_P,,
2022/4/21,34,P,Ca_P,,
2022/4/21,35,P,Ca_P,,
2022/4/21,36,P,Ca_P,,
2022/4/21,41,P,Fe_P,,
2022/4/21,42,P,Fe_P,,
2022/4/21,43,P,Fe_P,,
2022/4/21,44,P,Fe_P,,
2022/4/21,49,P,Al_P,,
2022/4/21,50,P,Al_P,,
2022/4/21,51,P,Al_P,,
2022/4/21,52,P,Al_P,,
2022/4/21,BC_1,BC,Control,,
2022/4/21,BC_2,BC,Control,,
2022/4/21,BC_3,BC,Control,,
2022/4/21,BC_4,BC,Control,,
2022/4/21,BC_5,BC,Chaff_10,,
2022/4/21,BC_6,BC,Chaff_10,,
2022/4/21,BC_7,BC,Chaff_10,,
2022/4/21,BC_8,BC,Chaff_10,,
2022/4/21,BC_9,BC,Tea_10,,
2022/4/21,BC_10,BC,Tea_10,,
2022/4/21,BC_11,BC,Tea_10,,
2022/4/21,BC_12,BC,Tea_10,,
2022/4/21,BC_13,BC,Tea_30,,
2022/4/21,BC_14,BC,Tea_30,,
2022/4/21,BC_15,BC,Tea_30,,
2022/4/21,BC_16,BC,Tea_30,,
2022/4/28,1,P,0P,,
2022/4/28,2,P,0P,,
2022/4/28,3,P,0P,,
2022/4/28,4,P,0P,,
2022/4/28,9,P,6P,,
2022/4/28,10,P,6P,,
2022/4/28,11,P,6P,,
2022/4/28,12,P,6P,,
2022/4/28,17,P,30P,,
2022/4/28,18,P,30P,,
2022/4/28,19,P,30P,,
2022/4/28,20,P,30P,,
2022/4/28,25,P,60P,,
2022/4/28,26,P,60P,,
2022/4/28,27,P,60P,,
2022/4/28,28,P,60P,,
2022/4/28,33,P,Ca_P,,
2022/4/28,34,P,Ca_P,,
2022/4/28,35,P,Ca_P,,
2022/4/28,36,P,Ca_P,,
2022/4/28,41,P,Fe_P,,
2022/4/28,42,P,Fe_P,,
2022/4/28,43,P,Fe_P,,
2022/4/28,44,P,Fe_P,,
2022/4/28,49,P,Al_P,,
2022/4/28,50,P,Al_P,,
2022/4/28,51,P,Al_P,,
2022/4/28,52,P,Al_P,,
2022/4/28,BC_1,BC,Control,,
2022/4/28,BC_2,BC,Control,,
2022/4/28,BC_3,BC,Control,,
2022/4/28,BC_4,BC,Control,,
2022/4/28,BC_5,BC,Chaff_10,,
2022/4/28,BC_6,BC,Chaff_10,,
2022/4/28,BC_7,BC,Chaff_10,,
2022/4/28,BC_8,BC,Chaff_10,,
2022/4/28,BC_9,BC,Tea_10,,
2022/4/28,BC_10,BC,Tea_10,,
2022/4/28,BC_11,BC,Tea_10,,
2022/4/28,BC_12,BC,Tea_10,,
2022/4/28,BC_13,BC,Tea_30,,
2022/4/28,BC_14,BC,Tea_30,,
2022/4/28,BC_15,BC,Tea_30,,
2022/4/28,BC_16,BC,Tea_30,,
2022/5/5,1,P,0P,,
2022/5/5,2,P,0P,,
2022/5/5,3,P,0P,,
2022/5/5,4,P,0P,,
2022/5/5,9,P,6P,,
2022/5/5,10,P,6P,,
2022/5/5,11,P,6P,,
2022/5/5,12,P,6P,,
2022/5/5,17,P,30P,,
2022/5/5,18,P,30P,,
2022/5/5,19,P,30P,,
2022/5/5,20,P,30P,,
2022/5/5,25,P,60P,,
2022/5/5,26,P,60P,,
2022/5/5,27,P,60P,,
2022/5/5,28,P,60P,,
2022/5/5,33,P,Ca_P,,
2022/5/5,34,P,Ca_P,,
2022/5/5,35,P,Ca_P,,
2022/5/5,36,P,Ca_P,,
2022/5/5,41,P,Fe_P,,
2022/5/5,42,P,Fe_P,,
2022/5/5,43,P,Fe_P,,
2022/5/5,44,P,Fe_P,,
2022/5/5,49,P,Al_P,,
2022/5/5,50,P,Al_P,,
2022/5/5,51,P,Al_P,,
2022/5/5,52,P,Al_P,,
2022/5/5,BC_1,BC,Control,,
2022/5/5,BC_2,BC,Control,,
2022/5/5,BC_3,BC,Control,,
2022/5/5,BC_4,BC,Control,,
2022/5/5,BC_5,BC,Chaff_10,,
2022/5/5,BC_6,BC,Chaff_10,,
2022/5/5,BC_7,BC,Chaff_10,,
2022/5/5,BC_8,BC,Chaff_10,,
2022/5/5,BC_9,BC,Tea_10,,
2022/5/5,BC_10,BC,Tea_10,,
2022/5/5,BC_11,BC,Tea_10,,
2022/5/5,BC_12,BC,Tea_10,,
2022/5/5,BC_13,BC,Tea_30,,
2022/5/5,BC_14,BC,Tea_30,,
2022/5/5,BC_15,BC,Tea_30,,
2022/5/5,BC_16,BC,Tea_30,,
2022/5/12,1,P,0P,,
2022/5/12,2,P,0P,,
2022/5/12,3,P,0P,,
2022/5/12,4,P,0P,,
2022/5/12,9,P,6P,,
2022/5/12,10,P,6P,,
2022/5/12,11,P,6P,,
2022/5/12,12,P,6P,,
2022/5/12,17,P,30P,,
2022/5/12,18,P,30P,,
2022/5/12,19,P,30P,,
2022/5/12,20,P,30P,,
2022/5/12,25,P,60P,,
2022/5/12,26,P,60P,,
2022/5/12,27,P,60P,,
2022/5/12,28,P,60P,,
2022/5/12,33,P,Ca_P,,
2022/5/12,34,P,Ca_P,,
2022/5/12,35,P,Ca_P,,
2022/5/12,36,P,Ca_P,,
2022/5/12,41,P,Fe_P,,
2022/5/12,42,P,Fe_P,,
2022/5/12,43,P,Fe_P,,
2022/5/12,44,P,Fe_P,,
2022/5/12,49,P,Al_P,,
2022/5/12,50,P,Al_P,,
2022/5/12,51,P,Al_P,,
2022/5/12,52,P,Al_P,,
2022/5/12,BC_1,BC,Control,,
2022/5/12,BC_2,BC,Control,,
2022/5/12,BC_3,BC,Control,,
2022/5/12,BC_4,BC,Control,,
2022/5/12,BC_5,BC,Chaff_10,,
2022/5/12,BC_6,BC,Chaff_10,,
2022/5/12,BC_7,BC,Chaff_10,,
2022/5/12,BC_8,BC,Chaff_10,,
2022/5/12,BC_9,BC,Tea_10,,
2022/5/12,BC_10,BC,Tea_10,,
2022/5/12,BC_11,BC,Tea_10,,
2022/5/12,BC_12,BC,Tea_10,,
2022/5/12,BC_13,BC,Tea_30,,
2022/5/12,BC_14,BC,Tea_30,,
2022/5/12,BC_15,BC,Tea_30,,
2022/5/12,BC_16,BC,Tea_30,,
2022/5/19,1,P,0P,,
2022/5/19,2,P,0P,,
2022/5/19,3,P,0P,,
2022/5/19,4,P,0P,,
2022/5/19,9,P,6P,,
2022/5/19,10,P,6P,,
2022/5/19,11,P,6P,,
2022/5/19,12,P,6P,,
2022/5/19,17,P,30P,,
2022/5/19,18,P,30P,,
2022/5/19,19,P,30P,,
2022/5/19,20,P,30P,,
2022/5/19,25,P,60P,,
2022/5/19,26,P,60P,,
2022/5/19,27,P,60P,,
2022/5/19,28,P,60P,,
2022/5/19,33,P,Ca_P,,
2022/5/19,34,P,Ca_P,,
2022/5/19,35,P,Ca_P,,
2022/5/19,36,P,Ca_P,,
2022/5/19,41,P,Fe_P,,
2022/5/19,42,P,Fe_P,,
2022/5/19,43,P,Fe_P,,
2022/5/19,44,P,Fe_P,,
2022/5/19,49,P,Al_P,,
2022/5/19,50,P,Al_P,,
2022/5/19,51,P,Al_P,,
2022/5/19,52,P,Al_P,,
2022/5/19,BC_1,BC,Control,,
2022/5/19,BC_2,BC,Control,,
2022/5/19,BC_3,BC,Control,,
2022/5/19,BC_4,BC,Control,,
2022/5/19,BC_5,BC,Chaff_10,,
2022/5/19,BC_6,BC,Chaff_10,,
2022/5/19,BC_7,BC,Chaff_10,,
2022/5/19,BC_8,BC,Chaff_10,,
2022/5/19,BC_9,BC,Tea_10,,
2022/5/19,BC_10,BC,Tea_10,,
2022/5/19,BC_11,BC,Tea_10,,
2022/5/19,BC_12,BC,Tea_10,,
2022/5/19,BC_13,BC,Tea_30,,
2022/5/19,BC_14,BC,Tea_30,,
2022/5/19,BC_15,BC,Tea_30,,
2022/5/19,BC_16,BC,Tea_30,,
2022/5/26,1,P,0P,,
2022/5/26,2,P,0P,,
2022/5/26,3,P,0P,,
2022/5/26,4,P,0P,,
2022/5/26,9,P,6P,,
2022/5/26,10,P,6P,,
2022/5/26,11,P,6P,,
2022/5/26,12,P,6P,,
2022/5/26,17,P,30P,,
2022/5/26,18,P,30P,,
2022/5/26,19,P,30P,,
2022/5/26,20,P,30P,,
2022/5/26,25,P,60P,,
2022/5/26,26,P,60P,,
2022/5/26,27,P,60P,,
2022/5/26,28,P,60P,,
2022/5/26,33,P,Ca_P,,
2022/5/26,34,P,Ca_P,,
2022/5/26,35,P,Ca_P,,
2022/5/26,36,P,Ca_P,,
2022/5/26,41,P,Fe_P,,
2022/5/26,42,P,Fe_P,,
2022/5/26,43,P,Fe_P,,
2022/5/26,44,P,Fe_P,,
2022/5/26,49,P,Al_P,,
2022/5/26,50,P,Al_P,,
2022/5/26,51,P,Al_P,,
2022/5/26,52,P,Al_P,,
2022/5/26,BC_1,BC,Control,,
2022/5/26,BC_2,BC,Control,,
2022/5/26,BC_3,BC,Control,,
2022/5/26,BC_4,BC,Control,,
2022/5/26,BC_5,BC,Chaff_10,,
2022/5/26,BC_6,BC,Chaff_10,,
2022/5/26,BC_7,BC,Chaff_10,,
2022/5/26,BC_8,BC,Chaff_10,,
2022/5/26,BC_9,BC,Tea_10,,
2022/5/26,BC_10,BC,Tea_10,,
2022/5/26,BC_11,BC,Tea_10,,
2022/5/26,BC_12,BC,Tea_10,,
2022/5/26,BC_13,BC,Tea_30,,
2022/5/26,BC_14,BC,Tea_30,,
2022/5/26,BC_15,BC,Tea_30,,
2022/5/26,BC_16,BC,Tea_30,,
2022/6/2,1,P,0P,,
2022/6/2,2,P,0P,,
2022/6/2,3,P,0P,,
2022/6/2,4,P,0P,,
2022/6/2,9,P,6P,,
2022/6/2,10,P,6P,,
2022/6/2,11,P,6P,,
2022/6/2,12,P,6P,,
2022/6/2,17,P,30P,,
2022/6/2,18,P,30P,,
2022/6/2,19,P,30P,,
2022/6/2,20,P,30P,,
2022/6/2,25,P,60P,,
2022/6/2,26,P,60P,,
2022/6/2,27,P,60P,,
2022/6/2,28,P,60P,,
2022/6/2,33,P,Ca_P,,
2022/6/2,34,P,Ca_P,,
2022/6/2,35,P,Ca_P,,
2022/6/2,36,P,Ca_P,,
2022/6/2,41,P,Fe_P,,
2022/6/2,42,P,Fe_P,,
2022/6/2,43,P,Fe_P,,
2022/6/2,44,P,Fe_P,,
2022/6/2,49,P,Al_P,,
2022/6/2,50,P,Al_P,,
2022/6/2,51,P,Al_P,,
2022/6/2,52,P,Al_P,,
2022/6/2,BC_1,BC,Control,,
2022/6/2,BC_2,BC,Control,,
2022/6/2,BC_3,BC,Control,,
2022/6/2,BC_4,BC,Control,,
2022/6/2,BC_5,BC,Chaff_10,,
2022/6/2,BC_6,BC,Chaff_10,,
2022/6/2,BC_7,BC,Chaff_10,,
2022/6/2,BC_8,BC,Chaff_10,,
2022/6/2,BC_9,BC,Tea_10,,
2022/6/2,BC_10,BC,Tea_10,,
2022/6/2,BC_11,BC,Tea_10,,
2022/6/2,BC_12,BC,Tea_10,,
2022/6/2,BC_13,BC,Tea_30,,
2022/6/2,BC_14,BC,Tea_30,,
2022/6/2,BC_15,BC,Tea_30,,
2022/6/2,BC_16,BC,Tea_30,,
2022/6/9,1,P,0P,,
2022/6/9,2,P,0P,,
2022/6/9,3,P,0P,,
2022/6/9,4,P,0P,,
2022/6/9,9,P,6P,,
2022/6/9,10,P,6P,,
2022/6/9,11,P,6P,,
2022/6/9,12,P,6P,,
2022/6/9,17,P,30P,,
2022/6/9,18,P,30P,,
2022/6/9,19,P,30P,,
2022/6/9,20,P,30P,,
2022/6/9,25,P,60P,,
2022/6/9,26,P,60P,,
2022/6/9,27,P,60P,,
2022/6/9,28,P,60P,,
2022/6/9,33,P,Ca_P,,
2022/6/9,34,P,Ca_P,,
2022/6/9,35,P,Ca_P,,
2022/6/9,36,P,Ca_P,,
2022/6/9,41,P,Fe_P,,
2022/6/9,42,P,Fe_P,,
2022/6/9,43,P,Fe_P,,
2022/6/9,44,P,Fe_P,,
2022/6/9,49,P,Al_P,,
2022/6/9,50,P,Al_P,,
2022/6/9,51,P,Al_P,,
2022/6/9,52,P,Al_P,,
2022/6/9,BC_1,BC,Control,,
2022/6/9,BC_2,BC,Control,,
2022/6/9,BC_3,BC,Control,,
2022/6/9,BC_4,BC,Control,,
2022/6/9,BC_5,BC,Chaff_10,,
2022/6/9,BC_6,BC,Chaff_10,,
2022/6/9,BC_7,BC,Chaff_10,,
2022/6/9,BC_8,BC,Chaff_10,,
2022/6/9,BC_9,BC,Tea_10,,
2022/6/9,BC_10,BC,Tea_10,,
2022/6/9,BC_11,BC,Tea_10,,
2022/6/9,BC_12,BC,Tea_10,,
2022/6/9,BC_13,BC,Tea_30,,
2022/6/9,BC_14,BC,Tea_30,,
2022/6/9,BC_15,BC,Tea_30,,
2022/6/9,BC_16,BC,Tea_30,,
2022/6/16,1,P,0P,,
2022/6/16,2,P,0P,,
2022/6/16,3,P,0P,,
2022/6/16,4,P,0P,,
2022/6/16,9,P,6P,,
2022/6/16,10,P,6P,,
2022/6/16,11,P,6P,,
2022/6/16,12,P,6P,,
2022/6/16,17,P,30P,,
2022/6/16,18,P,30P,,
2022/6/16,19,P,30P,,
2022/6/16,20,P,30P,,
2022/6/16,25,P,60P,,
2022/6/16,26,P,60P,,
2022/6/16,27,P,60P,,
2022/6/16,28,P,60P,,
2022/6/16,33,P,Ca_P,,
2022/6/16,34,P,Ca_P,,
2022/6/16,35,P,Ca_P,,
2022/6/16,36,P,Ca_P,,
2022/6/16,41,P,Fe_P,,
2022/6/16,42,P,Fe_P,,
2022/6/16,43,P,Fe_P,,
2022/6/16,44,P,Fe_P,,
2022/6/16,49,P,Al_P,,
2022/6/16,50,P,Al_P,,
2022/6/16,51,P,Al_P,,
2022/6/16,52,P,Al_P,,
2022/6/16,BC_1,BC,Control,,
2022/6/16,BC_2,BC,Control,,
2022/6/16,BC_3,BC,Control,,
2022/6/16,BC_4,BC,Control,,
2022/6/16,BC_5,BC,Chaff_10,,
2022/6/16,BC_6,BC,Chaff_10,,
2022/6/16,BC_7,BC,Chaff_10,,
2022/6/16,BC_8,BC,Chaff_10,,
2022/6/16,BC_9,BC,Tea_10,,
2022/6/16,BC_10,BC,Tea_10,,
2022/6/16,BC_11,BC,Tea_10,,
2022/6/16,BC_12,BC,Tea_10,,
2022/6/16,BC_13,BC,Tea_30,,
2022/6/16,BC_14,BC,Tea_30,,
2022/6/16,BC_15,BC,Tea_30,,
2022/6/16,BC_16,BC,Tea_30,,
2022/6/23,1,P,0P,,
2022/6/23,2,P,0P,,
2022/6/23,3,P,0P,,
2022/6/23,4,P,0P,,
2022/6/23,9,P,6P,,
2022/6/23,10,P,6P,,
2022/6/23,11,P,6P,,
2022/6/23,12,P,6P,,
2022/6/23,17,P,30P,,
2022/6/23,18,P,30P,,
2022/6/23,19,P,30P,,
2022/6/23,20,P,30P,,
2022/6/23,25,P,60P,,
2022/6/23,26,P,60P,,
2022/6/23,27,P,60P,,
2022/6/23,28,P,60P,,
2022/6/23,33,P,Ca_P,,
2022/6/23,34,P,Ca_P,,
2022/6/23,35,P,Ca_P,,
2022/6/23,36,P,Ca_P,,
2022/6/23,41,P,Fe_P,,
2022/6/23,42,P,Fe_P,,
2022/6/23,43,P,Fe_P,,
2022/6/23,44,P,Fe_P,,
2022/6/23,49,P,Al_P,,
2022/6/23,50,P,Al_P,,
2022/6/23,51,P,Al_P,,
2022/6/23,52,P,Al_P,,
2022/6/23,BC_1,BC,Control,,
2022/6/23,BC_2,BC,Control,,
2022/6/23,BC_3,BC,Control,,
2022/6/23,BC_4,BC,Control,,
2022/6/23,BC_5,BC,Chaff_10,,
2022/6/23,BC_6,BC,Chaff_10,,
2022/6/23,BC_7,BC,Chaff_10,,
2022/6/23,BC_8,BC,Chaff_10,,
2022/6/23,BC_9,BC,Tea_10,,
2022/6/23,BC_10,BC,Tea_10,,
2022/6/23,BC_11,BC,Tea_10,,
2022/6/23,BC_12,BC,Tea_10,,
2022/6/23,BC_13,BC,Tea_30,,
2022/6/23,BC_14,BC,Tea_30,,
2022/6/23,BC_15,BC,Tea_30,,
2022/6/23,BC_16,BC,Tea_30,,
2022/6/30,1,P,0P,,
2022/6/30,2,P,0P,,
2022/6/30,3,P,0P,,
2022/6/30,4,P,0P,,
2022/6/30,9,P,6P,,
2022/6/30,10,P,6P,,
2022/6/30,11,P,6P,,
2022/6/30,12,P,6P,,
2022/6/30,17,P,30P,,
2022/6/30,18,P,30P,,
2022/6/30,19,P,30P,,
2022/6/30,20,P,30P,,
2022/6/30,25,P,60P,,
2022/6/30,26,P,60P,,
2022/6/30,27,P,60P,,
2022/6/30,28,P,60P,,
2022/6/30,33,P,Ca_P,,
2022/6/30,34,P,Ca_P,,
2022/6/30,35,P,Ca_P,,
2022/6/30,36,P,Ca_P,,
2022/6/30,41,P,Fe_P,,
2022/6/30,42,P,Fe_P,,
2022/6/30,43,P,Fe_P,,
2022/6/30,44,P,Fe_P,,
2022/6/30,49,P,Al_P,,
2022/6/30,50,P,Al_P,,
2022/6/30,51,P,Al_P,,
2022/6/30,52,P,Al_P,,
2022/6/30,BC_1,BC,Control,,
2022/6/30,BC_2,BC,Control,,
2022/6/30,BC_3,BC,Control,,
2022/6/30,BC_4,BC,Control,,
2022/6/30,BC_5,BC,Chaff_10,,
2022/6/30,BC_6,BC,Chaff_10,,
2022/6/30,BC_7,BC,Chaff_10,,
2022/6/30,BC_8,BC,Chaff_10,,
2022/6/30,BC_9,BC,Tea_10,,
2022/6/30,BC_10,BC,Tea_10,,
2022/6/30,BC_11,BC,Tea_10,,
2022/6/30,BC_12,BC,Tea_10,,
2022/6/30,BC_13,BC,Tea_30,,
2022/6/30,BC_14,BC,Tea_30,,
2022/6/30,BC_15,BC,Tea_30,,
2022/6/30,BC_16,BC,Tea_30,,
2022/7/7,1,P,0P,,
2022/7/7,2,P,0P,,
2022/7/7,3,P,0P,,
2022/7/7,4,P,0P,,
2022/7/7,9,P,6P,,
2022/7/7,10,P,6P,,
2022/7/7,11,P,6P,,
2022/7/7,12,P,6P,,
2022/7/7,17,P,30P,,
2022/7/7,18,P,30P,,
2022/7/7,19,P,30P,,
2022/7/7,20,P,30P,,
2022/7/7,25,P,60P,,
2022/7/7,26,P,60P,,
2022/7/7,27,P,60P,,
2022/7/7,28,P,60P,,
2022/7/7,33,P,Ca_P,,
2022/7/7,34,P,Ca_P,,
2022/7/7,35,P,Ca_P,,
2022/7/7,36,P,Ca_P,,
2022/7/7,41,P,Fe_P,,
2022/7/7,42,P,Fe_P,,
2022/7/7,43,P,Fe_P,,
2022/7/7,44,P,Fe_P,,
2022/7/7,49,P,Al_P,,
2022/7/7,50,P,Al_P,,
2022/7/7,51,P,Al_P,,
2022/7/7,52,P,Al_P,,
2022/7/7,BC_1,BC,Control,,
2022/7/7,BC_2,BC,Control,,
2022/7/7,BC_3,BC,Control,,
2022/7/7,BC_4,BC,Control,,
2022/7/7,BC_5,BC,Chaff_10,,
2022/7/7,BC_6,BC,Chaff_10,,
2022/7/7,BC_7,BC,Chaff_10,,
2022/7/7,BC_8,BC,Chaff_10,,
2022/7/7,BC_9,BC,Tea_10,,
2022/7/7,BC_10,BC,Tea_10,,
2022/7/7,BC_11,BC,Tea_10,,
2022/7/7,BC_12,BC,Tea_10,,
2022/7/7,BC_13,BC,Tea_30,,
2022/7/7,BC_14,BC,Tea_30,,
2022/7/7,BC_15,BC,Tea_30,,
2022/7/7,BC_16,BC,Tea_30,,
